repository,LCOM5,WMC,CBO,NOI,RFC,CLOC,DIT,NOA,NOC,NOD,NOP,LOC,LLOC,NM,NLM,NOS,TLOC,TLLOC,TNM,TNLM,TNOS
OpenBMB_ChatDev,2.9731543624161074,9.322147651006713,0.4093959731543624,0.0805369127516778,4.416107382550336,8.395973154362416,0.1812080536912751,0.1812080536912751,0.1812080536912751,0.1812080536912751,0.1812080536912751,47.1744966442953,41.12080536912752,5.174496644295302,4.3355704697986575,24.174496644295303,47.1744966442953,41.12080536912752,5.214765100671141,4.3355704697986575,24.174496644295303
neuropsychology_NeuroKit,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
comfyanonymous_ComfyUI,2.343680709534368,6.8913525498891355,0.5121951219512195,0.4456762749445676,3.1818181818181817,6.902439024390244,0.0886917960088691,0.0886917960088691,0.073170731707317,0.0886917960088691,0.073170731707317,54.92461197339246,44.42572062084257,3.1773835920177382,2.7361419068736144,23.787139689578716,55.04656319290466,44.53880266075388,3.2505543237250554,2.745011086474501,23.851441241685144
apache_tvm,1.819200484554815,4.935493640218049,0.4000605693519079,0.211992731677771,2.4043004239854633,9.581465778316172,0.3940036341611145,0.3949121744397335,0.3216232586311326,0.3949121744397335,0.3216232586311326,39.16989703210176,31.412174439733494,3.2283464566929134,2.1923076923076925,13.825560266505148,39.2931556632344,31.49878861296184,3.3473652331920047,2.2286493034524533,13.969109630526953
reflex-dev_reflex,0.947261663286004,2.7849898580121706,0.2068965517241379,0.0649087221095334,1.3468559837728196,11.872210953346856,0.1480730223123732,0.1480730223123732,0.1440162271805274,0.1480730223123732,0.1440162271805274,32.198782961460445,22.425963488843813,1.9432048681541585,1.281947261663286,4.9452332657200815,32.29817444219067,22.480730223123732,1.971602434077079,1.281947261663286,4.9452332657200815
netbox-community_netbox,0.8274783445620789,1.6963426371511068,0.1171799807507218,0.0076997112608277,0.913618864292589,1.7295476419634264,0.1075553416746872,0.1234359961501443,0.0964870067372473,0.1234359961501443,0.0964870067372473,24.532723772858517,21.14797882579403,1.0878248315688162,0.9059191530317612,4.917709335899904,26.05822906641001,22.58012512030799,1.1049085659287776,0.9213185755534168,5.0555822906641
flairNLP_flair,2.6823529411764704,9.731372549019609,1.007843137254902,0.515686274509804,3.9490196078431374,11.709803921568628,0.6588235294117647,0.6588235294117647,0.5470588235294118,0.6588235294117647,0.5470588235294118,70.87843137254902,53.99411764705882,5.676470588235294,3.433333333333333,26.17058823529412,70.87843137254902,53.99411764705882,5.698039215686275,3.437254901960784,26.176470588235293
horovod_horovod,3.796747967479675,15.146341463414634,0.4688346883468834,0.4959349593495935,6.333333333333333,11.794037940379404,0.1517615176151761,0.1680216802168021,0.1490514905149051,0.1680216802168021,0.1490514905149051,100.45528455284553,78.72357723577235,6.897018970189702,5.837398373983739,50.956639566395665,100.4661246612466,78.7289972899729,7.56639566395664,6.043360433604336,51.520325203252035
lllyasviel_Fooocus,2.305676855895197,6.698689956331878,0.517467248908297,0.4432314410480349,3.0633187772925763,6.888646288209607,0.0917030567685589,0.0917030567685589,0.0764192139737991,0.0917030567685589,0.0764192139737991,53.430131004366814,43.37772925764192,3.11353711790393,2.620087336244542,22.71397379912664,53.55021834061135,43.48908296943232,3.1353711790393013,2.62882096069869,22.777292576419217
PaddlePaddle_PaddleNLP,3.1620010368066356,10.590461378952826,0.5813893208916537,0.310523587350959,4.26023846552618,20.43157076205288,0.1892172109901503,0.1902540176257128,0.185329186106791,0.1902540176257128,0.185329186106791,90.267755313634,72.06272680145153,4.553395541731467,3.94971487817522,31.98418869880767,90.36936236391912,72.14385692068429,4.6625194401244165,3.9577501296008295,32.03499222395023
ultralytics_ultralytics,3.327956989247312,13.693548387096774,0.4139784946236559,0.2795698924731182,4.983870967741935,34.02150537634409,0.1451612903225806,0.1451612903225806,0.1290322580645161,0.1451612903225806,0.1290322580645161,89.44623655913979,67.17204301075269,5.580645161290323,4.704301075268817,37.854838709677416,89.44623655913979,67.17204301075269,5.618279569892473,4.704301075268817,37.854838709677416
compas-dev_compas,7.108552631578948,17.81578947368421,0.2006578947368421,0.2598684210526316,9.401315789473683,90.03618421052632,0.0953947368421052,0.0953947368421052,0.0855263157894736,0.0953947368421052,0.0855263157894736,163.16447368421052,126.27631578947368,9.546052631578949,9.141447368421051,37.651315789473685,163.16447368421052,126.27631578947368,9.572368421052632,9.141447368421051,37.651315789473685
uds-se_debuggingbook,2.8212526389866293,7.41871921182266,0.5517241379310345,0.4102744546094299,4.209007741027445,11.261787473610134,0.378606615059817,0.3870513722730471,0.258972554539057,0.3870513722730471,0.258972554539057,47.02990851513019,35.62315270935961,7.387403237156931,3.798733286418015,20.023223082336383,47.24032371569317,35.79556650246305,7.730471498944405,3.927515833919774,20.26389866291344
microsoft_nni,2.6453168044077136,7.179063360881543,0.4648760330578512,0.2052341597796143,3.4738292011019283,11.606060606060606,0.1756198347107438,0.1797520661157025,0.1453168044077135,0.1797520661157025,0.1453168044077135,46.60192837465565,35.18112947658402,4.396694214876033,3.268595041322314,19.163911845730027,46.61845730027548,35.19765840220386,4.616391184573002,3.4173553719008263,19.62465564738292
PrefectHQ_prefect,2.5021707670043414,3.871683550410034,0.2793053545586107,0.1977809937288953,3.305354558610709,4.942595272551857,0.1509889049686444,0.1538832609744332,0.1365171249397009,0.1538832609744332,0.1365171249397009,51.49011095031356,42.35166425470333,2.9667149059334297,3.1075735648818137,13.428847081524362,52.31934394597202,43.04968644476604,3.5533043897732752,3.2329956584659914,13.736131210805596
nateemma_strategies,2.6808510638297873,61.37911025145067,1.3423597678916828,0.620889748549323,4.762088974854932,34.601547388781434,0.6808510638297872,0.6808510638297872,0.620889748549323,0.6808510638297872,0.620889748549323,162.68085106382978,105.88588007736944,21.108317214700193,4.141199226305609,61.79883945841393,162.92263056092844,106.09864603481624,21.181818181818183,4.158607350096712,61.83558994197292
jina-ai_jina,1.5452322738386308,3.6943765281173593,0.1491442542787286,0.0745721271393643,1.9315403422982884,5.910757946210269,0.0721271393643031,0.0782396088019559,0.0721271393643031,0.0782396088019559,0.0721271393643031,28.183374083129586,23.93031784841076,1.9229828850855744,1.856968215158924,8.591687041564793,29.70171149144254,25.288508557457213,2.1039119804400976,1.919315403422983,9.134474327628364
mlc-ai_mlc-llm,2.6582278481012658,7.291139240506329,0.4936708860759494,0.2974683544303797,3.367088607594937,9.30379746835443,0.0126582278481012,0.0126582278481012,0.0126582278481012,0.0126582278481012,0.0126582278481012,71.94303797468355,61.765822784810126,2.8860759493670884,3.069620253164557,34.62658227848101,71.94303797468355,61.765822784810126,3.151898734177215,3.107594936708861,35.050632911392405
quantopian_zipline,2.6644920782851815,5.568499534016776,0.5806150978564771,0.2590866728797763,3.701770736253495,18.28797763280522,0.4268406337371854,0.478098788443616,0.3215284249767008,0.478098788443616,0.3215284249767008,78.53215284249767,59.9878844361603,5.264678471575023,3.4426840633737186,18.5712954333644,78.56477166821995,60.01397949673811,5.631873252562908,3.5209692451071763,18.679403541472507
pytorch_vision,2.486707566462168,6.570552147239264,0.3067484662576687,0.8394683026584867,4.012269938650307,10.075664621676893,0.2259713701431492,0.2259713701431492,0.1462167689161554,0.2259713701431492,0.1462167689161554,57.87014314928425,42.92944785276074,5.101226993865031,3.17280163599182,19.56646216768916,57.94683026584867,42.99386503067485,5.217791411042945,3.210633946830266,19.65644171779141
ranger_ranger,2.86046511627907,16.63953488372093,0.3527131782945736,0.3062015503875969,4.771317829457364,10.472868217054264,0.3604651162790697,0.3604651162790697,0.2868217054263566,0.3604651162790697,0.2868217054263566,70.67054263565892,55.36434108527132,5.341085271317829,4.465116279069767,35.34496124031008,70.68217054263566,55.37596899224806,5.5310077519379846,4.4728682170542635,35.36046511627907
powerline_powerline,2.707509881422925,7.569169960474309,0.4308300395256917,0.4031620553359684,3.9762845849802377,4.790513833992095,0.2490118577075099,0.2490118577075099,0.233201581027668,0.2490118577075099,0.233201581027668,48.27272727272727,41.91699604743083,4.181818181818182,3.573122529644269,22.462450592885375,48.27272727272727,41.91699604743083,4.391304347826087,3.656126482213439,22.679841897233203
ddbourgin_numpy-ml,4.259036144578313,12.16867469879518,0.572289156626506,0.3072289156626506,5.9879518072289155,61.59036144578313,0.4518072289156626,0.4518072289156626,0.4457831325301205,0.4518072289156626,0.4457831325301205,134.43373493975903,116.93975903614458,9.25301204819277,5.680722891566265,39.32530120481928,134.43373493975903,116.93975903614458,9.259036144578314,5.680722891566265,39.32530120481928
