repository,McCC,NL,NLE,NII,NOI,CD,CLOC,DLOC,TCD,TCLOC,LLOC,LOC,NOS,NUMPAR,TLLOC,TLOC,TNOS,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL,MI
streamlit_streamlit,1.4669590643274857,0.0,0.0,0.0,0.3263157894736842,0.0,3.4842105263157896,2.700584795321637,0.0,3.506432748538012,9.77719298245614,14.3812865497076,4.808187134502924,1.758187134502924,10.119298245614036,14.76374269005848,4.956432748538012,4.426205796952217,0.3643163285506975,24.822868254919,0.0028582577754632,2.6648675171736995,2.0142296368989205,1.3790482363843966,8.57477332639,57.91169559585125
psf_black,2.751923076923077,0.0,0.0,0.0,0.4653846153846154,0.0,2.673076923076923,1.5634615384615385,0.0,2.767307692307692,12.45,15.265384615384615,7.0442307692307695,1.5807692307692307,12.680769230769233,15.596153846153848,7.176923076923077,18.942212602241387,1.0013242959183142,208.00584412367783,0.0125971612850497,8.735562310030396,5.825734549138804,11.555880229093216,37.79148385514923,40.465326471831006
microsoft_nni,2.245100150764592,0.0,0.0,0.0,0.2569459401249192,0.0,2.090027999138488,1.4469093258668964,0.0,2.143441740254146,8.349989231100581,10.95886280422141,5.8216670256299805,2.3766961016584105,8.802929140641826,11.4766314882619,6.137195778591428,16.5092209436323,0.9875962323346248,125.4731367188657,0.0105517468276272,8.057308194885197,5.6036960985626285,6.970729817714704,31.655240482881617,47.2980591402569
spotify_luigi,1.53757225433526,0.0,0.0,0.0,0.3697198755002223,0.0,1.1078257003112495,0.8145842596709649,0.0,1.1340595820364607,6.469986660738106,8.197421076033793,4.087149844375278,1.5649177412183193,7.034459759893286,8.835927078701646,4.292574477545576,4.177015202092517,0.3333580787823353,20.70251919600684,0.002552677374817,2.392189679218968,1.905439330543933,1.1501399553337004,7.658032124451348,44.2525023675352
powerline_powerline,2.1961009174311927,0.0,0.0,0.0,0.4059633027522936,0.0,1.125,0.6903669724770642,0.0,1.1295871559633028,10.400229357798166,11.85894495412844,6.430045871559633,2.14105504587156,10.702981651376149,12.190366972477063,6.580275229357798,11.93667954553807,0.7081125195988462,84.11883980496623,0.0075155941825373,5.844036697247707,4.197247706422019,4.673268878053683,22.54678254761224,42.27788368396787
pandas-dev_pandas,1.7793515358361776,0.0,0.0,0.0,0.1745733788395904,0.0,3.1188850967007964,1.9171217292377705,0.0,3.141126279863481,12.110295790671218,16.502673492605233,6.855745164960182,2.099829351535836,12.249089874857791,16.66632536973834,6.940386803185438,9.159959241009048,0.7084037834139869,67.96824208155462,0.0063470163728411,5.468067097568483,3.6456602031394274,3.776013448975135,19.04104911852666,28.84022016562656
frappe_erpnext,3.2825219473264164,0.0,0.0,0.0,0.8242218675179569,0.0,0.9694732641660015,0.3306065442936951,0.0,0.9742617717478051,17.702913008778932,21.19772545889864,9.094772545889864,1.3487629688747007,17.875698324022345,21.384676775738228,9.174980047885075,15.623133610999108,0.8775683452726092,90.9421169365831,0.00936735044018,7.275507874914403,5.367267747089706,5.052339829810104,28.10205132054075,33.07496411634708
huggingface_transformers,2.5662500354278266,0.0,0.0,0.0,0.2400022673808916,0.0,2.850126123062098,1.754017515517388,0.0,2.8753507354816765,15.002239038630504,19.53558370886829,7.950854519173539,3.325114077601111,15.190573363942976,19.77073944959329,8.058300031176488,18.41507888516769,0.9842301011406376,224.3975346082925,0.0132615528791109,9.016758705322902,5.360331339162448,12.466529700460812,39.78465863733441,36.59308705676664
OpenBMB_ChatDev,2.1703125,0.0,0.0,0.0,0.3453125,0.0,1.3796875,1.015625,0.0,1.40625,8.0484375,9.6015625,5.5734375,1.84375,8.121875,9.7015625,5.628125,9.851778293177397,0.6265903402100075,85.23772786391433,0.0071561002331445,5.531409168081494,3.477079796264856,4.73542932577302,21.468300699433573,64.2944450649721
python-poetry_poetry,3.3166833166833167,0.0,0.0,0.0,0.3226773226773227,0.0,1.1868131868131868,0.4735264735264735,0.0,1.2177822177822175,12.182817182817184,15.463536463536464,7.501498501498501,2.046953046953047,12.23976023976024,15.53946053946054,7.537462537462537,10.80851224541915,0.6754480279536527,47.313618271187735,0.0065202198418333,5.78719723183391,4.438581314878893,2.628534348399328,19.560659525500355,35.69779376811252
Ciphey_Ciphey,1.8558951965065504,0.0,0.0,0.0,0.1222707423580786,0.0,1.537117903930131,0.7467248908296943,0.0,1.5414847161572052,7.098253275109171,8.914847161572052,4.067685589519651,1.3689956331877728,7.170305676855895,8.997816593886462,4.111353711790393,6.419824073734508,0.507664055669279,51.37674756997861,0.0041586791583245,3.4781746031746037,2.632936507936508,2.8542637538877056,12.47603747497385,66.40354725936743
ipython_ipython,2.654151242728715,0.0,0.0,0.0,0.3685880486515071,0.0,5.043363299841354,3.564780539397145,0.0,5.100475938656795,10.212057112638815,16.06663141195135,6.859333685880486,1.97567424643046,10.53358011634056,16.442622950819672,7.051824431517716,11.12442237472372,0.718446951164663,70.27389855465249,0.0069061998321517,5.666107382550336,4.186912751677852,3.904105475258487,20.71859949645499,41.578146624514495
scrapy_scrapy,1.5033377837116155,0.0,0.0,0.0,0.3735647530040053,0.0,0.6162883845126835,0.3217623497997329,0.0,0.629105473965287,8.909479305740987,10.002403204272364,4.716154873164219,1.768224299065421,9.314285714285717,10.441655540720962,4.897196261682243,2.904721720288656,0.2756399991435894,9.664271929100789,0.0018275065383573,1.9401853411962933,1.558270148834597,0.5369039960611591,5.482519615072019,45.69017571128588
horovod_horovod,2.8184568835098336,0.0,0.0,0.0,0.6036308623298033,0.0,1.5930408472012103,0.7771053958648513,0.0,1.6787695410993444,12.578416540595056,15.800302571860817,9.019162884518408,2.0292486132123044,13.410489157841656,16.793242561775088,9.586989409984872,23.81887404732145,1.2199514181458946,214.5965993513369,0.0147550891096918,10.125109745390692,6.964442493415277,11.922033297296494,44.265267329075634,41.17832869342626
spotDL_spotify-downloader,4.019230769230769,0.0,0.0,0.0,0.2403846153846154,0.0,9.817307692307692,7.576923076923077,0.0,9.817307692307692,18.365384615384617,32.31730769230769,9.942307692307692,2.519230769230769,18.365384615384617,32.31730769230769,9.942307692307692,22.99134014498234,1.0993360090049664,176.09958716306994,0.0143245420958837,10.143333333333333,7.076666666666667,9.783310397948336,42.97362628765151,62.31113391604696
open-mmlab_mmdetection,2.788632792037716,0.0,0.0,0.0,0.2839182818229439,0.0,7.163174436877947,5.726296490309062,0.0,7.185437401781037,21.264274489261396,30.17443687794657,11.66788894709272,3.533001571503405,21.435044525929808,30.387899423782084,11.790990047145105,27.968808964986,1.508162532079865,286.30755145273235,0.0194844690706814,13.400214880472737,8.246038141283911,15.905975080707252,58.45340721204445,57.49032756603625
oobabooga_text-generation-webui,2.6481481481481484,0.0,0.0,0.0,0.2481481481481481,0.0,0.8703703703703703,0.1222222222222222,0.0,0.8703703703703703,9.422222222222222,11.670370370370373,7.211111111111111,2.1703703703703705,9.514814814814814,11.766666666666667,7.274074074074074,20.41228795470057,1.0028605163720965,243.21355228029424,0.0131260570855738,8.854166666666666,5.893229166666667,13.5118640155719,39.378171256721785,48.1166974636604
aio-libs_aiohttp,2.124845488257108,0.0,0.0,0.0,0.245982694684796,0.0,0.899876390605686,0.3899876390605686,0.0,0.907292954264524,9.38627935723115,11.024721878862794,5.440667490729296,1.9449938195302845,9.53831891223733,11.18726823238566,5.5364647713226205,8.435656026851083,0.6280301262674809,38.1359793560078,0.0051936288107383,5.058948004836759,3.98186215235792,2.11866551977823,15.580886432214768,18.365271769426123
smicallef_spiderfoot,3.215028901734104,0.0,0.0,0.0,0.2398843930635838,0.0,1.5557803468208091,0.9997109826589596,0.0,1.5632947976878613,12.820231213872832,16.936416184971097,10.132658959537572,1.4742774566473988,12.958959537572252,17.10751445086705,10.24306358381503,13.377459349568904,0.5139808924320595,111.25880571866092,0.0082545926566659,5.342219646479282,3.6090988119385687,6.181044762147811,24.76377796999785,68.96475528794011
matplotlib_matplotlib,2.495366639806607,0.0,0.0,0.0,0.4744157937147462,0.0,6.044117647058823,4.977034649476229,0.0,6.085414987912974,9.122280419016922,15.7209911361805,6.225020145044319,2.4317082997582595,9.288678485092667,15.93392425463336,6.337228041901692,17.39361377705693,0.9775639467279712,186.802713075865,0.0122313625688896,8.864922118380063,5.597757009345794,10.377928504214507,36.69408770667005,23.350237685780986
karlproject_karl,1.2446828533785057,0.0,0.0,0.0,0.5834744965179748,0.0,0.3786937699981178,0.1810653115000941,0.0,0.3805759457933371,8.566534914361002,9.383587427065688,6.153773762469415,1.5531714662149445,8.77639751552795,9.598155467720686,6.261434217955957,4.095839796163445,0.3111088183645777,24.06553257530228,0.0027331057198882,2.439265212399541,1.7804822043628017,1.3369740319612382,8.199317159664913,39.41624579955887
localstack_localstack,1.8672341506797103,0.0,0.0,0.0,0.239105577436158,0.0,1.4314572481260324,0.6376572227163003,0.0,1.463346461694829,12.73675517723288,15.297547960869013,6.143437936729767,2.5881082454580104,13.390547579723034,16.00304916783128,6.438699021725321,6.839570258023746,0.4289892091705312,29.6993792230164,0.0041255278420515,3.6181082865632224,2.7652690656982504,1.649965512389829,12.376583526154372,49.50563089253174
huggingface_pytorch-image-models,2.5900046274872746,0.0,0.0,0.0,0.2660805182785747,0.0,1.1878759833410455,0.5446552521980564,0.0,1.1892642295233689,13.593706617306802,15.469689958352614,7.723276260990282,4.02776492364646,13.633965756594169,15.510411846367422,7.756131420638593,13.523950603200984,0.8254195569283339,139.96767545747323,0.0090646359769093,6.499655172413793,4.273103448275862,7.775981969859638,27.19390793072807,37.27658867002746
